Run Index,Alpha_a,Alpha_b,Alpha_W_a,Alpha_W_b,Q_Init,N_Tilings,S_Intervals,Superlative EETDR,Superlative 95HW,SP95LB,Mean Max EETDR,Mean Max 95ME,Mean Time-Avg EETDR,Mean Time-Avg 95ME,Wallclock,Algorithm Score
16.0,0.515,0.725,0.775,0.675,0.905,0.255,0.035,-105.52002497508457,2.2265797075492015,-107.74660468263377,-256.5186238384901,77.28129245306665,-437.8920436851728,171.56065139338196,103.08660572000372,-444.0610278063559
17.0,0.615,0.375,0.515,0.455,0.365,0.295,0.905,-156.90233176456536,19.357652355770284,-176.25998412033564,-209.5241602868732,22.07115881937326,-342.8338895359827,66.69967418347728,112.94757740400382,-302.7706169515319
18.0,0.045,0.535,0.985,0.485,0.635,0.805,0.725,-96.82531643785669,11.517650616526124,-108.34296705438281,-144.84093004762482,26.656433599466265,-215.88676136845362,32.66099228141747,144.42853764600295,-202.31751964820307
19.0,0.975,0.505,0.395,0.745,0.385,0.785,0.845,-144.92593229365727,12.51822514957687,-157.44415744323413,-233.97073871331673,31.25530782256053,-349.31057484617145,49.18318958170556,136.3483599989995,-318.5331336926772
20.0,0.945,0.955,0.715,0.095,0.965,0.815,0.375,-131.7547857180346,12.427238437836651,-144.18202415587126,-310.44497044391204,67.17416577806955,-419.37880220610805,81.05630643177034,154.06613761599874,-426.74552518834037
21.0,0.375,0.475,0.365,0.135,0.085,0.185,0.285,-135.84632455181674,15.03707938371805,-150.88340393553477,-270.7444142241415,47.3843318096386,-405.8979423437429,63.62507197265428,159.24086089000048,-378.6864533468269
22.0,0.285,0.435,0.995,0.025,0.125,0.665,0.735,-115.72404790054931,22.558402970661426,-138.28245087121073,-200.04044941968192,34.53697089125973,-310.1823572662876,79.86352193898985,144.41832939699816,-296.764803868676
23.0,0.805,0.695,0.595,0.865,0.835,0.435,0.635,-137.6450646302578,13.353902972807921,-150.99896760306572,-232.82469579867546,39.78634258355965,-402.1006778970449,86.68525203182222,119.865828066002,-359.0809950008879
24.0,0.075,0.165,0.155,0.505,0.665,0.125,0.165,-146.95423714558893,12.792432805905651,-159.7466699514946,-236.92518865291868,46.921954643264336,-360.76981701141113,83.61753004990894,82.04995458999474,-348.06322480223787
25.0,0.575,0.185,0.105,0.235,0.525,0.645,0.155,-118.2206333975872,9.270429817276185,-127.49106321486339,-360.2663313711337,97.82636517323479,-456.8958649747492,116.65382000424967,116.32977944400045,-504.2754919182206
26.0,0.795,0.255,0.005,0.255,0.935,0.515,0.175,-115.51135548083035,13.633203249708165,-129.1445587305385,-304.4005156129682,102.81908420063368,-379.0972614586918,127.8709860899979,96.03664152999409,-447.11905890763705
27.0,0.265,0.365,0.645,0.625,0.605,0.745,0.045,-98.75315314146391,9.482484449627918,-108.23563759109183,-340.9937728234976,104.20330683645491,-378.94480593774307,112.54094110538645,182.20697990700137,-463.71254661322325
28.0,0.765,0.575,0.225,0.915,0.655,0.675,0.415,-122.07423987385081,8.472375688192866,-130.54661556204368,-300.8887134768117,70.39117996625532,-470.7173928345508,121.35264940301776,280.1001716139872,-459.59595296086763
29.0,0.785,0.155,0.925,0.515,0.065,0.015,0.185,-128.4774731699753,7.967306435364641,-136.44477960533993,-346.8927696227028,68.26585512806346,-469.43222826208904,144.87681059196598,205.89367446600227,-494.8187903920818
30.0,0.385,0.755,0.185,0.545,0.485,0.895,0.615,-135.82852608875052,10.47708143547206,-146.30560752422258,-244.96192585711455,48.22165721395685,-379.1756694481054,84.51112892672226,315.9173695579957,-361.3848691925739
31.0,0.005,0.705,0.145,0.555,0.785,0.755,0.525,-131.00640299554988,16.504935700528687,-147.51133869607855,-237.68428650524066,34.33031766833524,-335.59290972580516,46.61589346575454,141.39086166300694,-316.09228378076943
32.0,0.865,0.715,0.505,0.355,0.985,0.735,0.685,-132.96727484841816,11.039779825850701,-144.00705467426886,-259.6292728732637,46.542053065228586,-435.1232243949201,97.89581822622547,139.97076873699552,-396.9104126115536
33.0,0.465,0.515,0.425,0.815,0.515,0.975,0.865,-145.79720873045557,13.385008941437217,-159.18221767189277,-231.9402896523443,35.86218712600841,-386.50875623508557,108.12921835050469,310.20800477800367,-358.5366759012477
34.0,0.105,0.095,0.345,0.445,0.275,0.345,0.105,-84.91204530346286,12.271311583214844,-97.1833568866777,-293.77834272185765,99.7040594894279,-399.8663305899316,102.84413202870326,102.76026346599974,-437.17362637422525
35.0,0.295,0.925,0.555,0.335,0.565,0.205,0.395,-137.3618432169984,11.123351741348948,-148.48519495834736,-278.2199944831337,61.79643743056529,-394.20770227761324,98.42139608976896,114.74455572100123,-401.06149849517226
36.0,0.705,0.315,0.045,0.925,0.315,0.485,0.585,-147.78852527011787,13.387176652988169,-161.17570192310603,-236.44331062250723,44.73871389608737,-395.7381319148077,69.75745415965068,239.7233856439998,-354.9074491409401
37.0,0.455,0.235,0.295,0.085,0.405,0.905,0.355,-104.31705459592973,11.70270344193481,-116.01975803786455,-291.09993066700355,78.2817755255282,-423.3911913551875,102.95994491166829,156.69960390600318,-432.1694782222613
38.0,0.175,0.775,0.065,0.475,0.285,0.715,0.305,-129.48336882337586,7.3444172649334245,-136.82778608830927,-324.71105718726045,78.85461714899735,-406.0456227387904,93.06840732380458,117.19896765900194,-441.7850166267927
39.0,0.395,0.965,0.125,0.845,0.335,0.075,0.875,-138.42049272339574,12.489725687847645,-150.9102184112434,-195.19041633151818,22.428087757724132,-266.00601159202364,37.77294358405063,216.80739654999343,-252.0826845239751
40.0,0.915,0.645,0.035,0.065,0.875,0.235,0.515,-125.92891448352981,6.5494676248345085,-132.47838210836431,-178.2842890225548,30.572881279243642,-283.97660001614383,83.67664658873025,222.1664790539944,-272.37560082302866
41.0,0.405,0.335,0.205,0.005,0.455,0.885,0.275,-136.8769622897306,8.510057072496297,-145.3870193622269,-337.86930491958094,84.58415170568676,-401.183636172991,93.99058585235878,124.00460955400195,-451.54176278530053
42.0,0.895,0.035,0.845,0.055,0.555,0.575,0.575,-131.48343037885687,11.828410979561848,-143.31184135841872,-225.77570902923222,42.47698294603463,-337.8138263787438,55.36451374244261,122.83480228099506,-318.22295123363466
43.0,0.055,0.295,0.685,0.535,0.845,0.655,0.925,-152.4653949077541,19.26596003362389,-171.731354941378,-177.57893425891103,22.21246839304201,-258.18598319575864,38.378353087127635,122.63765894000244,-238.50057610432634
44.0,0.685,0.305,0.495,0.645,0.735,0.525,0.655,-151.8332394917045,14.289573156970519,-166.122812648675,-240.5179910411592,43.04607866873768,-366.56409269988234,71.19347431758382,210.58320687500236,-345.2414686329246
45.0,0.015,0.675,0.025,0.325,0.645,0.005,0.125,-115.94905127395413,8.312624091104214,-124.26167536505834,-262.65186848251113,66.91233562067252,-362.0918233370195,99.90270037228174,86.82697645500593,-382.5363319456307
46.0,0.955,0.835,0.875,0.125,0.885,0.875,0.595,-111.05604104308343,13.805071270684186,-124.8611123137676,-271.99108123364636,64.00023419992982,-367.9218500647404,80.93538669025983,145.01249379100045,-381.13768396214584
47.0,0.845,0.085,0.675,0.995,0.205,0.685,0.465,-139.84909080783422,10.551412994865377,-150.4005038026996,-263.9715757831149,52.029606468041806,-373.1349368125774,65.72870652539912,115.81064784000046,-365.1461666858846
48.0,0.635,0.545,0.575,0.985,0.705,0.505,0.055,-115.90769486759581,6.854398418738749,-122.76209328633456,-372.8780904448305,125.90723561806934,-422.03332507728317,152.61523538112777,127.22835389399552,-529.1306198211042
49.0,0.035,0.845,0.725,0.875,0.765,0.415,0.495,-128.53568575687547,12.725301728438762,-141.26098748531422,-256.8479503563052,39.97683151350903,-322.3633587240604,49.8013150100803,240.31450914099696,-326.9607386155448
50.0,0.835,0.825,0.255,0.225,0.945,0.045,0.835,-160.06215131472317,18.906448852888637,-178.9686001676118,-193.10058020361032,21.5806428665281,-255.75869877312851,36.77501656300981,89.37574483599747,-245.82221997653838
