Run Index,Alpha_a,Alpha_W_a,Q_Init,N_Tilings,S_Intervals,Superlative EETDR,Superlative 95HW,SP95LB,Mean Max EETDR,Mean Max 95ME,Mean Time-Avg EETDR,Mean Time-Avg 95ME,Wallclock,Algorithm Score
15.0,0.995,0.975,0.835,0.465,0.465,-99.71100157781575,8.546606806878684,-108.25760838469444,-170.87067870358283,33.46720173729406,-250.7632020082696,39.02553753735108,106.08721698000045,-238.5182240827744
16.0,0.515,0.725,0.775,0.675,0.905,-114.55977831101939,13.87835485343096,-128.43813316445033,-143.68746346062633,11.173485832418342,-233.50340456268836,19.773053109444078,158.13622923500043,-194.2271526446798
17.0,0.6772879150982616,0.3703797944165182,0.4897141465481752,0.36579054836328323,0.46444702573737884,-102.81318090657177,10.915533817374182,-113.72871472394596,-185.46466863097194,43.25348051064047,-288.9069102296423,50.62506916721585,111.76648810500046,-273.0436812437107
18.0,0.045,0.535,0.985,0.485,0.635,-164.33380370783377,19.283202194025726,-183.6170059018595,-187.32847629300164,15.750324591594243,-274.92477646647734,17.317840348365607,119.03689789800046,-238.7443272566947
19.0,0.975,0.505,0.395,0.745,0.385,-137.0553061451865,10.837380926004627,-147.89268707119112,-199.5818223253021,38.47491409016364,-314.9316491708265,41.027183576850526,115.26378923599987,-285.21757494835026
20.0,0.945,0.955,0.715,0.095,0.965,-132.350375681934,13.221083805171528,-145.57145948710553,-171.04902037927613,11.850154770723655,-229.85336327476043,28.220365891423388,85.20535631899838,-212.9689967564734
21.0,0.375,0.475,0.365,0.135,0.085,-64.51934689316089,12.299095492163305,-76.81844238532419,-131.60582994178534,30.372715624408766,-277.64801136814447,31.63327387241455,155.5805913990007,-220.89964143594005
22.0,0.285,0.435,0.995,0.025,0.125,-70.7192018881292,13.074617399129194,-83.7938192872584,-119.92534942062669,34.14135757055619,-240.89408777351755,56.54075082832462,98.8386084169997,-211.4139596354466
23.0,0.805,0.695,0.595,0.865,0.835,-129.0485271681645,11.749598170824338,-140.79812533898883,-187.23109616776355,21.503350619853602,-265.03399328311906,32.39387349470977,144.47466730999986,-244.21181478370184
24.0,0.075,0.165,0.155,0.505,0.665,-165.04186984297002,17.842932523171417,-182.88480236614143,-216.16683616639244,25.17344617197277,-309.5880879890161,31.830013299316636,258.77156272200045,-281.37140991835224
25.0,0.575,0.185,0.105,0.235,0.525,-149.689446514662,15.373001545980058,-165.06244806064205,-195.78379753902635,19.157148792881234,-307.9030319886141,32.74293835813574,99.00236240999948,-265.22295593784446
26.0,0.795,0.255,0.005,0.255,0.935,-144.72854767240824,16.91209716281215,-161.6406448352204,-187.34104645649927,26.67179762061392,-265.5065129903862,34.73130339326962,205.5244346010004,-248.50283299973023
27.0,0.19879037096451418,0.30877651563458897,0.6016626718789098,0.7231342344108039,0.5395693559137118,-142.83231965210106,16.544478475674328,-159.3767981277754,-212.5621550564425,27.26815876175896,-331.35131146830264,36.34067056488852,143.95900300499852,-290.97498110419735
28.0,0.765,0.575,0.225,0.915,0.655,-127.14736131738564,12.106377321344835,-139.25373863873048,-191.2179695220033,31.272896438023682,-287.82834367576163,30.302940995727205,139.80869876399993,-260.7470334446117
29.0,0.785,0.155,0.925,0.515,0.065,-64.09413875938664,11.67984945866398,-75.77398821805062,-244.06884067730698,57.87280717465721,-375.1287108396504,73.33255456860583,93.36259389799852,-360.549494874481
30.0,0.44614716056153386,0.47699780628063687,0.07381653174866985,0.5131236143883748,0.6056143216086397,-142.82839181807435,18.444253587798343,-161.2726454058727,-184.78924520945475,28.402945459003536,-303.47608480329393,31.713432960486582,131.68175926600088,-261.9911215065872
31.0,0.005,0.705,0.145,0.555,0.785,-138.54158750250681,16.102247300704704,-154.64383480321152,-155.3906986020601,9.26171542573027,-231.72198258072999,8.584105775796624,143.8759066900002,-194.91388375928486
32.0,0.865,0.715,0.505,0.355,0.985,-158.01146709929208,18.28181996157643,-176.29328706086852,-199.2039330024638,29.4265431494376,-261.3831843078819,27.504078502956304,214.48645961900002,-252.73319081547612
33.0,0.3603408450599368,0.3854065079294856,0.32760897497015073,0.778428113754159,0.5474948848661866,-175.04851901535548,20.28719881572097,-195.33571783107647,-216.64335268144274,32.282504525915314,-324.22895847098636,26.124214923106678,213.72053751299973,-289.49678368205207
34.0,0.105,0.095,0.345,0.445,0.275,-186.62635775120611,13.87103816558336,-200.4973959167895,-235.85711954075177,30.85548426336163,-369.40747538850536,33.9875798549436,117.16579244000059,-321.3855843798476
35.0,0.295,0.925,0.555,0.335,0.565,-82.02641185486146,9.822004795333465,-91.84841665019493,-88.7613909997614,11.453086962482109,-184.58910822651703,15.55801037656729,255.2595882049991,-140.18753421857986
36.0,0.705,0.315,0.045,0.925,0.315,-123.26760867319511,9.963994292717695,-133.2316029659128,-229.7664702470182,50.03987369612354,-352.12591210683195,39.66311148667537,254.08303578599953,-324.5994158032879
37.0,0.5594979773079186,0.0750240651372332,0.5147698096731278,0.009765912439533037,0.43458683233586076,-124.26560654946071,13.04954735152814,-137.31515390098886,-216.5433380504051,39.26350900438634,-312.2365212674345,52.82064607647262,87.62261421399853,-299.5069751704377
38.0,0.175,0.775,0.065,0.475,0.285,-76.25653362404194,13.30251377547905,-89.55904739952098,-93.58719815182069,17.36957040568295,-194.1381873008348,20.860245412794356,275.98906811099914,-152.57343421995384
39.0,0.395,0.965,0.125,0.845,0.335,-73.62727333377747,11.216727135630684,-84.84400046940814,-105.34737373180936,16.492692106342492,-221.5962246903031,23.047140085424243,284.7097518130013,-170.96138541318203
40.0,0.915,0.645,0.035,0.065,0.875,-151.2954138370817,19.26353508549155,-170.55894892257325,-197.93724979397157,11.5521934412118,-280.92277903735214,27.20914252950944,98.0531103659996,-248.94643456785468
41.0,0.405,0.335,0.205,0.005,0.455,-131.07088286243908,12.546710358246452,-143.61759322068554,-190.8892192558132,37.56712062431091,-301.830310345279,54.98887057712048,106.76024499899904,-279.80147629703424
42.0,0.895,0.035,0.845,0.055,0.555,-124.16516777271053,17.317142149700587,-141.4823099224111,-184.43867946766045,23.077811316752424,-311.62763762770993,46.12849187256462,89.55842727699928,-267.61234627075754
43.0,0.055,0.295,0.685,0.535,0.845,-158.02216190782053,15.650733588960694,-173.67289549678122,-201.8184091200009,21.12613171972219,-305.6593714715008,27.388619319049656,127.77766606099976,-266.98592082005405
44.0,0.623215493365231,0.16183427481560922,0.5129625230189037,0.760395238659276,0.8872825204696609,-164.90964421312646,17.933330748457173,-182.84297496158362,-192.23714367596315,24.280706529361485,-293.2903460335075,27.504725076866944,134.45713510299902,-258.2287385673445
45.0,0.015,0.675,0.025,0.325,0.645,-108.23560668116073,10.342342960661021,-118.57794964182176,-130.86560865812262,19.28771689643261,-221.16559771256684,14.2783558072109,126.62926332200004,-184.26957674064423
46.0,0.955,0.835,0.875,0.125,0.885,-135.04106212674478,13.059089185634791,-148.10015131237958,-193.5485110143225,27.80931456759434,-267.5711486955373,39.07065519033767,86.34074952099945,-255.47141690350009
47.0,0.845,0.085,0.675,0.995,0.205,-131.16930155786724,7.386911437716651,-138.5562129955839,-252.47795698405093,44.65489972575082,-439.2656310685864,22.37538607590241,120.75690169900008,-362.9361208836766
48.0,0.635,0.545,0.575,0.985,0.705,-138.5412583767709,19.139339184484633,-157.68059756125555,-182.64224837383563,23.479193076711518,-268.3842859848043,33.316633025371985,168.13746544399874,-244.3532324743988
49.0,0.035,0.845,0.725,0.875,0.765,-126.74689496723673,12.996272359817812,-139.74316732705455,-126.27284648850453,8.507870557502711,-201.9239801005997,11.289733680857955,310.2347518890001,-166.15391574018741
50.0,0.835,0.825,0.255,0.225,0.945,-144.2878844418069,12.387711140493124,-156.67559558230005,-172.91245966330763,18.07845301887555,-236.0770062428191,25.72738024918982,201.68195399199976,-219.3163022061135
51.0,0.935,0.985,0.805,0.775,0.535,-56.205154940776744,5.229557841680644,-61.43471278245739,-128.77179020394922,29.41026957257425,-207.03938189240154,35.48023624674408,118.86985483600074,-191.91708312157232
52.0,0.205,0.895,0.485,0.615,0.435,-62.40102013250508,17.113150357680635,-79.51417049018572,-91.0635546187131,17.20906624926276,-172.3783701824886,16.140608032757335,282.10532893300115,-140.37116380688389
53.0,0.875,0.275,0.385,0.385,0.955,-131.45963831097913,18.184613040755565,-149.64425135173468,-185.935405006361,16.965743604624045,-285.6157020752677,35.64947867199398,210.0186457869986,-250.2467614654957
54.0,0.435,0.875,0.965,0.395,0.145,-83.64421556561717,15.0863133298302,-98.73052889544738,-123.37143088431523,32.55731413119823,-250.69416474011524,26.85291196091845,180.9375016139984,-204.57607768972156
55.0,0.735,0.745,0.565,0.785,0.895,-119.54065947567783,13.85954317794486,-133.4002026536227,-160.69879833221734,20.011190575594824,-246.00191892091885,33.51290405418133,134.71437251799944,-220.23192253472735
56.0,0.356252434727102,0.18213704195788857,0.8551770909732501,0.790436605213807,0.39822510168268305,-162.80892537795455,15.390944165282594,-178.19986954323716,-247.64987037915662,38.855824476245594,-352.958427026765,40.00893787327636,146.38979914000083,-329.09036287325785
57.0,0.755,0.945,0.245,0.075,0.115,-68.29803644061835,9.664810954917447,-77.96284739553579,-142.20477793437453,31.765040715508505,-234.34637939026342,51.30087786609056,75.94479734999913,-218.64079409247142
