Run Index,Alpha_a,Alpha_b,Eps_a,Eps_b,Q_Init,Lambda_a,Lambda_b,N_Tilings,S_Intervals,Superlative EETDR,Superlative 95HW,SP95LB,Mean Max EETDR,Mean Max 95ME,Mean Time-Avg EETDR,Mean Time-Avg 95ME,Wallclock,Algorithm Score
10.0,0.025,0.205,0.055,0.015,0.035,0.495,0.075,0.615,0.635,-219.88934234286097,22.50117885249956,-242.39052119536052,-236.8447295121536,9.401489632798205,-309.940305065452,6.118072805570677,432.6570552679914,-274.1710826353802
11.0,0.255,0.065,0.165,0.155,0.135,0.595,0.535,0.785,0.935,-198.08566427631524,19.664457508620433,-217.7501217849357,-235.21850052616816,20.198369545564887,-336.36365029282854,4.389840555250617,479.61490373501147,-289.5515183822715
12.0,0.245,0.635,0.115,0.585,0.155,0.395,0.345,0.155,0.955,-158.33848538787532,16.366188869931317,-174.70467425780663,-228.972726281908,13.09985165886439,-311.24549140536874,4.462784539677085,177.23431871698995,-271.52685714248173
13.0,0.525,0.245,0.465,0.855,0.095,0.635,0.235,0.235,0.285,38.999289819369004,28.636132340437523,10.36315747893148,-65.29142172710871,32.69991314407222,-158.55441679131144,15.701473809201367,623.7702327189909,-128.49715716291368
14.0,0.815,0.415,0.335,0.205,0.005,0.245,0.955,0.465,0.365,30.047611066916478,32.571620540571466,-2.5240094736549885,33.393035522130226,23.95343038113368,-170.02025980057553,12.551448127743758,596.7296608110046,-67.36492008672978
15.0,0.995,0.975,0.835,0.465,0.465,0.765,0.945,0.655,0.395,-208.91166612254645,30.575314606948094,-239.48698072949455,-174.5505963413485,14.473203542065812,-281.47120329903976,6.24810729396984,369.13036937400466,-228.50200416725244
16.0,0.515,0.725,0.775,0.675,0.905,0.255,0.035,0.665,0.645,-194.41896969861756,16.039466009457215,-210.45843570807477,-245.5599351496394,15.908868242415103,-325.48880593340493,6.524513917858308,312.65948167700844,-289.68660997573795
17.0,0.615,0.375,0.515,0.455,0.365,0.295,0.905,0.275,0.975,-187.82552324525423,16.104435113670725,-203.92995835892495,-220.33111203741632,19.100745432577405,-321.3768836017257,3.161654921139876,291.38265131200023,-273.4745298911424
18.0,0.045,0.535,0.985,0.485,0.635,0.805,0.725,0.215,0.335,-149.0721647659938,15.355746283510959,-164.42791104950476,-240.63417800346397,19.466399434478195,-325.50657828630665,4.9615479488898195,183.28961324501142,-288.2475969568439
19.0,0.975,0.505,0.395,0.745,0.385,0.785,0.845,0.515,0.255,61.51790191329055,26.118694164380212,35.39920774891034,34.19386572767747,20.923378577022707,-143.03340574081076,13.03129007774966,889.0541208950017,-54.46358603703132
20.0,0.945,0.955,0.715,0.095,0.965,0.815,0.375,0.645,0.085,-131.27850778087787,26.99034015898513,-158.268847939863,-188.63329355376254,30.113841412468407,-297.64663547162667,31.32462852354946,330.48654103100125,-262.836786577809
21.0,0.375,0.475,0.365,0.135,0.085,0.185,0.285,0.225,0.275,-86.05815483723772,33.592782696220056,-119.65093753345778,-143.3199729826461,25.266670884012175,-262.05049968417836,7.488590042351545,343.94208063100814,-208.96762221060692
22.0,0.285,0.435,0.995,0.025,0.125,0.665,0.735,0.475,0.385,-235.35981415416552,27.02193270539973,-262.3817468595652,-259.541637666273,29.991490215622306,-420.3938805429245,33.62790085674792,376.50859496800695,-355.3285892890062
23.0,0.805,0.695,0.595,0.865,0.835,0.435,0.635,0.405,0.515,-244.33994020451425,27.599561041288336,-271.9395012458026,-243.09013756574572,13.78671649316382,-311.2107014281275,4.3349701284081155,269.87826753398986,-280.34438105795994
24.0,0.075,0.165,0.155,0.505,0.665,0.125,0.165,0.035,0.455,-195.48990416417655,25.080845174974403,-220.57074933915095,-186.9442455760414,12.10269179990871,-264.37057585783367,5.592377882001331,169.98070310999174,-227.41334392150407
25.0,0.575,0.185,0.105,0.235,0.525,0.645,0.155,0.255,0.965,-181.09214217401276,18.981664102782833,-200.0738062767956,-190.89591509112077,13.439172091430487,-267.27864651242146,4.048913566497841,558.3843576150102,-231.13207634109847
