Run Index,Alpha_a,Alpha_b,Eps_a,Eps_b,Q_Init,N_Steps,N_Tilings,S_Intervals,Superlative EETDR,Superlative 95HW,SP95LB,Mean Max EETDR,Mean Max 95ME,Mean Time-Avg EETDR,Mean Time-Avg 95ME,Wallclock,Algorithm Score
26.0,0.795,0.255,0.005,0.255,0.935,0.515,0.175,0.085,-87.78516326370882,16.844155165865708,-104.62931842957454,-106.67020839724862,14.118831945356169,-235.72742706995868,12.670572960440479,165.6885141380044,-171.83262421772253
27.0,0.265,0.365,0.645,0.625,0.605,0.745,0.045,0.955,-57.357346292719924,12.876739334095362,-70.23408562681529,-66.48871270561492,9.010441923155328,-114.31821633550867,3.313111588267785,110.88476414400066,-92.35202394677273
28.0,0.765,0.575,0.225,0.915,0.655,0.675,0.415,0.375,51.992443261002336,27.051814475814034,24.940628785188302,18.819382479994026,27.654789092950132,-84.7464973310512,14.203302936891278,321.2690808759944,-44.88116407495066
29.0,0.785,0.155,0.925,0.515,0.065,0.015,0.185,0.505,-132.66319141055072,21.939252737948376,-154.6024441484991,-141.89002535159324,18.873229259610703,-238.727709771213,8.882333750815548,297.13576872299745,-195.50197017553378
30.0,0.385,0.755,0.185,0.545,0.485,0.895,0.615,0.265,124.98000643849532,23.01642214623923,101.96358429225609,67.88681156330674,19.670777697814223,-53.86688233024952,13.639253656529501,625.0955956909966,1.9271659245838997
31.0,0.005,0.705,0.145,0.555,0.785,0.755,0.525,0.625,-141.10619971679012,21.955908504540783,-163.0621082213309,-135.92817067574316,9.387656923200137,-196.1973105021737,7.256382289165895,799.2959804449929,-168.57097367590183
32.0,0.865,0.715,0.505,0.355,0.985,0.735,0.685,0.115,41.64529258744807,24.921293576361816,16.723999011086253,49.62151570001309,23.29823944752649,-95.92915451712153,14.71563683145772,701.3916235500001,-28.463950787939744
33.0,0.465,0.515,0.425,0.815,0.515,0.975,0.865,0.045,154.96604544743985,20.387947624688348,134.57809782275152,74.13498790236429,31.264246698905534,-26.411451100673425,21.806485403589143,453.4460674180009,6.43527012037022
34.0,0.105,0.095,0.345,0.445,0.275,0.345,0.105,0.135,57.536838975873955,30.035688898520878,27.501150077353078,27.38024578957133,14.888385129792589,-85.91763535424806,9.474454361782271,545.9056283460013,-30.661719490544897
35.0,0.295,0.925,0.555,0.335,0.565,0.205,0.395,0.875,-172.69929726755075,16.229459536164264,-188.928756803715,-220.46918405669254,15.710465275717269,-296.6986535159033,5.169841439432176,630.0709995280049,-262.45518758158005
36.0,0.705,0.315,0.045,0.925,0.315,0.485,0.585,0.605,167.92327461281886,28.704492155937352,139.2187824568815,99.77056826568149,26.924525993396706,-50.60446693496791,11.992295886391435,362.02042899299704,18.668920234827134
37.0,0.455,0.235,0.295,0.085,0.405,0.905,0.355,0.925,-81.97468847713297,6.724686047079735,-88.6993745242127,-79.89060388349237,4.121014641795637,-122.49354849505539,1.9905653749827548,277.5005301939964,-100.20061666318807
38.0,0.175,0.775,0.065,0.475,0.285,0.715,0.305,0.165,-14.388355065507533,19.809510368073795,-34.19786543358133,-50.5411840790127,18.68637774058146,-111.68168995432352,10.439204221963408,605.3543497220016,-90.38489476227127
39.0,0.395,0.965,0.125,0.845,0.335,0.075,0.875,0.075,-168.59495835987272,14.7196030029966,-183.3145613628693,-182.78479046421745,9.339996183983589,-234.820800525412,7.650118520967715,263.73376460099826,-212.2632396074725
40.0,0.915,0.645,0.035,0.065,0.875,0.235,0.515,0.795,-79.58010178675077,29.441818727757834,-109.02192051450861,-69.23032192134767,26.436053340391272,-195.96572793437437,7.769575938519306,545.6069701960005,-138.89394670620084
41.0,0.405,0.335,0.205,0.005,0.455,0.885,0.275,0.935,-63.20253349693387,9.90089933970629,-73.10343283664015,-73.67906705694668,3.8010656524408337,-118.97202373540647,5.29407158987548,272.10883002600167,-96.1945177557453
42.0,0.895,0.035,0.845,0.055,0.555,0.575,0.575,0.485,-165.41276953692642,17.78164139805351,-183.19441093497994,-185.19364818262403,10.38038684957725,-279.1803958308107,6.5964706535071125,143.25536483800533,-231.65516761304792
